POSITION;X;Y
1;0.02251656;0.02737882
2;0.06026490;0.05318671
3;0.09105960;0.06732496
4;0.12052980;0.08325853
5;0.16357616;0.09964093
6;0.20430464;0.11938959
7;0.22682119;0.12881508
8;0.25761589;0.13936266
9;0.28973510;0.13464991
10;0.31225166;0.12230700
11;0.33178808;0.12881508
12;0.30662252;0.15731598
13;0.48576159;0.09672352
14;0.50529801;0.10614901
15;0.47450331;0.13846499
16;0.48576159;0.14878815
17;0.49536424;0.15641831
18;0.51092715;0.16876122
19;0.52748344;0.18379713
20;0.54139073;0.19614004
21;0.68708609;0.15641831
22;0.02649007;0.21050269
23;0.03774834;0.22172352
24;0.04768212;0.23316876
25;0.06291391;0.24461400
26;0.08543046;0.25875224
27;0.08112583;0.27289048
28;0.50794702;0.31754937
29;0.55695364;0.30610413
30;0.02649007;0.32989228
31;0.16225166;0.39901257
32;0.12880795;0.44367145
33;0.23377483;0.32877020
34;0.33443709;0.38868941
35;0.49536424;0.38958707
36;0.49668874;0.40282765
37;0.64801325;0.43873429
38;0.65629139;0.45107720
39;0.66622517;0.46342011
40;0.68013245;0.48518851
41;0.69701987;0.50246858
42;0.71092715;0.51660682
43;0.96158940;0.38487433
44;0.28543046;0.49483842
45;0.54867550;0.51750449
46;0.52615894;0.56597846
47;0.54867550;0.58191203
48;0.57086093;0.59066427
49;0.59635762;0.56485637
50;0.61291391;0.57428187
51;0.63973510;0.58482944
52;0.63543046;0.62275583
53;0.79072848;0.58011670
54;0.78940397;0.59537702
55;0.78807947;0.60951526
56;0.78940397;0.62567325
57;0.79337748;0.64272890
58;0.83410596;0.57719928
59;0.89006623;0.61243268
60;0.91953642;0.60861759
61;0.95596026;0.58864452
62;0.80033113;0.66449731
63;0.80761589;0.68065530
64;0.81589404;0.69860862
65;0.89437086;0.69771095
66;0.39304636;0.60008977
67;0.39602649;0.61243268
68;0.40430464;0.62567325
69;0.41026490;0.64183124
70;0.50662252;0.62073609
71;0.52615894;0.64744165
72;0.53046358;0.65686715
73;0.54139073;0.67594255
74;0.55000000;0.68536804
75;0.55430464;0.69950628
76;0.54735099;0.61422801
77;0.54867550;0.62477558
78;0.55562914;0.63891382
79;0.56821192;0.65305206
80;0.57649007;0.66921005
81;0.42682119;0.69008079
82;0.41721854;0.69569120
83;0.40596026;0.70713645
84;0.38774834;0.71835727
85;0.37947020;0.72980251
86;0.46589404;0.72239677
87;0.48013245;0.73945242
88;0.49105960;0.75538600
89;0.49536424;0.77917415
90;0.49403974;0.82944345
91;0.48841060;0.84178636
92;0.48973510;0.85682226
93;0.48145695;0.87679533
94;0.61291391;0.77625673
95;0.61721854;0.80767504
96;0.61589404;0.84178636
97;0.66324503;0.80004488
98;0.90562914;0.73743268
99;0.88443709;0.79533214
100;0.86887417;0.82832136
101;0.87748344;0.84178636
102;0.86622517;0.86624776
103;0.47152318;0.89003591
104;0.08973510;0.58572711
105;0.07152318;0.59717235
106;0.05331126;0.62073609
107;0.04337748;0.63599641
108;0.14536424;0.63038600
109;0.08807947;0.68424596
110;0.25198675;0.59537702
111;0.25066225;0.60480251
112;0.24900662;0.61804309
113;0.27417219;0.64362657
114;0.30662252;0.64654399
115;0.31357616;0.67863555
116;0.14966887;0.76301616
117;0.14701987;0.80004488
118;0.17086093;0.80004488
119;0.17913907;0.81328546
120;0.10231788;0.83976661
121;0.16788079;0.84358169
122;0.18907285;0.85300718
123;0.21688742;0.85973968
124;0.25463576;0.86736984
125;0.29536424;0.86916517
126;0.33576159;0.87769300
127;0.19602649;0.90529623
128;0.23112583;0.90237882
129;0.23940397;0.94501795
130;0.36390728;0.74506284
131;0.02649007;0.88442549
132;0.05463576;0.90237882
133;0.09105960;0.94030521
134;0.43377483;0.94793537
135;0.82284768;0.91853680
136;0.97119205;0.93738779
137;0.95596026;0.95444345
138;0.62019868;0.97351885
139;0.77119205;0.83415619
140;0.77947020;0.76862657
141;0.77251656;0.74416517
142;0.76688742;0.72307002
143;0.98245033;0.65596948
144;0.84105960;0.45982944
145;0.11622517;0.60188510
146;0.04470199;0.77625673
